,Retrieve,Internet,ChatMemory,RunCode
Recall the specific data format I requested for the output.,0,0,1,0
Execute code to calculate the remainder of 17 divided by 5.,0,0,0,1
Retrieve the user stories from 'agile_backlog.csv'.,1,0,0,0
Find recent articles about renewable energy sources.,0,1,0,0
What was the estimated budget I mentioned for the marketing campaign?,0,0,1,0
"Write and run Python code to sort the dictionary `{'c': 3, 'a': 1, 'b': 2}` by key.",0,0,0,1
Find the 'Testing Strategy' section in the 'project_plan_v2.docx'.,1,0,0,0
Search for healthy breakfast recipes.,0,1,0,0
What was the core issue we identified in the last review meeting?,0,0,1,0
"Run code to check if 'apple' is in the list `['banana', 'orange', 'apple']`.",0,0,0,1
Access the 'API_endpoints.json' file I uploaded earlier.,1,0,0,0
What is the distance between Earth and Mars? Look it up.,0,1,0,0
Remind me of the name of the stakeholder I met with yesterday.,0,0,1,0
Execute code to calculate 3 times 4 plus 5.,0,0,0,1
Retrieve the 'Risk Assessment' table from the 'project_proposal.pdf'.,1,0,0,0
Find tutorials for learning guitar online.,0,1,0,0
What was the specific performance metric I asked you to track?,0,0,1,0
"Write and run code to create a tuple containing 'red', 'green', 'blue'.",0,0,0,1
Check the company's founding date in 'about_us.pdf' against their official website.,1,1,0,0
Find the Python code example in 'tutorial_part3.docx' and execute it.,1,0,0,1
Look up reviews for the specific laptop model I mentioned earlier in our conversation.,0,1,1,0
Search online for a Python library to read Excel files and run a basic example to read 'data.xlsx'.,1,1,0,1
"Execute the code block I shared previously, the one that calculates Fibonacci numbers.",0,0,1,1
Retrieve the 'api_specs.yaml' file and compare the endpoint definition with the example usage I provided in the chat.,1,0,1,0
"Find the performance benchmarks in 'results_summary.pdf', verify the competitor data online, and check if it matches the competitor name I gave you earlier.",1,1,1,0
"Get the script 'image_processor.py' from the document, look up the documentation for the 'Pillow' library's resize function online, and run the script on 'logo.png'.",1,1,0,1
Use the configuration parameters we discussed to run the simulation defined in the attached 'simulation_model.py' file.,1,0,1,1
Remember the 'ModuleNotFoundError' I pasted? Search online for common causes related to virtual environments and try running the import statement from our chat again after suggesting a fix.,0,1,1,1
"Retrieve the 'algorithm_pseudocode.txt' file, implement the described algorithm in Python, search online for standard test vectors for this algorithm, and run your implementation against them.",1,1,0,1
Cross-reference the customer IDs mentioned in 'feedback_log.csv' with the user list I provided in our chat earlier.,1,0,1,0
Find the code snippet for database connection in the 'config_guide.md' document and execute it to test the connection.,1,0,0,1
Search online for tutorials on the 'React Hooks' concept we were discussing.,0,1,1,0
Find a code example online for making HTTP GET requests in Java and run it to fetch the content of 'example.com'.,0,1,0,1
Run the data validation script I provided earlier against the 'new_dataset.csv' file I just uploaded.,1,0,1,1
Check the historical event date mentioned in 'chapter_5.pdf' using Wikipedia and compare it to the date I mentioned in our chat.,1,1,1,0
"Retrieve the 'data_cleaning.ipynb' notebook, execute the cell tagged 'load_data', then find online documentation for the `fillna` method used in the next cell.",1,1,0,1
Use the threshold value we agreed upon to modify the filtering function in the 'analysis_tool.py' script (from the attached file) and run the modified function.,1,0,1,1
"Search online for solutions to the specific SQL error code I shared, and try running the corrected query from our discussion.",0,1,1,1
"Get the 'benchmark.py' script, check online for the latest stable version of the 'numpy' library it imports, update the script if necessary, and run it.",1,1,0,1
Compare the project milestones listed in 'plan.docx' with the completion dates I mentioned in our chat history.,1,0,1,0
Find the setup instructions in 'README.md' and execute the command `pip install -r requirements.txt`.,1,0,0,1
Look up the current best practices for API authentication that we talked about earlier.,0,1,1,0
"Find a Python code snippet online for calculating standard deviation and run it on the list `[2, 4, 4, 4, 5, 5, 7, 9]`.",0,1,0,1
Run the exact SQL query I pasted 10 minutes ago.,0,0,1,1
"Retrieve the 'user_manual.pdf', find the section on 'Advanced Settings', and check online if the default port number mentioned is standard for that type of service.",1,1,0,0
"Take the code from 'report_generator.py', modify the output file name based on our chat conversation, and execute the script.",1,0,1,1
"Search online for explanations of the 'CORS' error I described happening with the JavaScript code from our chat, and suggest a fix.",0,1,1,1
"Find the code example in 'appendix_B.doc', verify online that the external API it calls is still active, and run the example code.",1,1,0,1
